correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;219.7411387570468;-61.06727767865331;0.41361924682715756;-9.450406718294186;-0.9408713699635808;0.0;0.99869746;18.459454;1.3106668;1.7165642
1;219.7440094742543;-61.06926844641641;0.8408117036426604;-7.72612355817241;-4.342019166315791;1.7012326;1.1586396;19.728558;2.2407238;3.4235039
1;219.74466750359827;-61.07456295984333;0.22668541741526516;-6.368530180566177;-3.4530702102473554;0.8845565;1.0305202;;;
1;219.75232209179302;-61.07171865054607;0.4207388551617101;-6.005189706429597;-3.3761052164596146;0.0;0.9809712;18.14563;1.3528357;2.0490112
1;219.74678083836167;-61.076198098606326;-1.2298394016395418;-4.497218069820162;-11.819424558656332;2.6485026;1.1701057;20.64924;;
1;219.7441751485811;-61.07559344358275;-0.04563688231876238;-4.9474928564177585;-2.939409305380787;0.0;0.9770387;18.715076;1.3657846;2.3212814
1;219.75065629384918;-61.07468854139524;0.4533992490717292;-8.057069622286923;-4.902422919801892;0.0;0.9808731;18.106987;1.272649;1.7423096
1;219.74858999050096;-61.0733843443214;-0.17846139622964013;-6.11861495263654;-3.789722956064672;0.55933523;1.0205092;19.524473;1.5368406;2.4297562
1;219.75405503255075;-61.07219002611013;0.5847336171440393;-5.882758916593401;-2.2571000239428876;0.0;0.96851254;18.703432;1.3011448;1.7800484
1;219.7381229487191;-61.073623663641555;0.41293169200792745;-3.928443172464553;-2.784175356127003;0.0;0.9813124;17.796162;1.2705402;1.6588154
1;219.74844743217756;-61.07186148957271;-0.15766876389533258;-4.891850131691313;-2.640819744058831;0.5754507;1.0370207;19.560005;1.3011949;2.298315
1;219.74557139443073;-61.07105054632358;1.2068680661451203;-4.330648953676204;-2.413421693065899;0.0;1.0097388;20.10008;;
1;219.74491071116265;-61.07135026823601;0.42443171676314206;-7.11301193616103;-3.2161718451307753;0.4748744;1.051706;19.216646;1.4252146;2.046671
1;219.75176037584654;-61.07007728465685;0.2710489898556439;-5.231883577861281;-3.612507677436551;0.0;0.98602736;18.813406;1.3032689;2.2318401
1;219.7423206862651;-61.07087007941445;0.3341972295009438;-8.417786096782194;-2.227351817836663;0.4851573;1.0437638;18.909575;1.2519693;1.9335537
1;219.74736866357745;-61.06999239502895;0.8697898745801563;-2.761160509350059;-3.017183985511209;0.0;0.9912899;20.119137;1.5020617;2.1002522
